Country,state_name,Year,Name Of The Region,Additional Info,"Distribution Of Offices Of Scheduled Commercial Banks (UOM:Number), Scaling Factor:1","Credit-Deposit Ratio Of Scheduled Commercial Banks According To Place Of Sanction (UOM:Ratio), Scaling Factor:1","Credit-Deposit Ratio Of Scheduled Commercial Banks According To Place Of Utilisation (UOM:Ratio), Scaling Factor:1","Deposits By Scheduled Commercial Banks In India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit By Scheduled Commercial Banks In India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit To Agriculture By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit To Industry By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Personal Loans By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Deposits Of Regional Rural Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit Of Regional Rural Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit-Deposit Ratio Of Regional Rural Banks (UOM:Ratio), Scaling Factor:1","Number Of Branches Of Regional Rural Banks (UOM:Number), Scaling Factor:1"
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2024",North-Eastern Region,,206.0,29.9,31.1,29205.0,9072.0,459.0,757.0,6364.0,1404.0,453.0,32.3,35.0
India,Assam,"Calendar Year (Jan - Dec), 2024",North-Eastern Region,,3190.0,58.0,60.6,220474.0,133644.0,14397.0,18580.0,65507.0,12451.0,6982.0,56.1,475.0
India,Bihar,"Calendar Year (Jan - Dec), 2024",Eastern Region,,7979.0,50.5,52.8,524251.0,276788.0,69756.0,31032.0,100511.0,44967.0,26574.0,59.1,2119.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2024",Northern Region,,466.0,72.8,75.9,114089.0,86601.0,4421.0,27710.0,21917.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2024",Central Region,,3092.0,76.0,79.3,243955.0,193572.0,22341.0,47137.0,64383.0,16248.0,8034.0,49.4,625.0
India,Delhi,"Calendar Year (Jan - Dec), 2024",Northern Region,,3894.0,90.5,91.8,1855609.0,1703009.0,48739.0,697620.0,188839.0,,0.0,,
India,Goa,"Calendar Year (Jan - Dec), 2024",Western Region,,680.0,26.6,28.1,112021.0,31522.0,1754.0,4938.0,17272.0,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2024",Western Region,,9191.0,74.4,83.2,1195365.0,994260.0,96261.0,334474.0,362397.0,22600.0,15232.0,67.4,761.0
India,Haryana,"Calendar Year (Jan - Dec), 2024",Northern Region,,5515.0,66.6,73.8,788798.0,582106.0,68932.0,156044.0,192008.0,22642.0,15543.0,68.6,697.0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2024",Northern Region,,1774.0,35.7,36.8,150334.0,55274.0,9186.0,8311.0,24089.0,8534.0,3794.0,44.5,279.0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2024",Northern Region,,1933.0,58.4,59.5,175967.0,104613.0,10208.0,12363.0,56436.0,7151.0,4455.0,62.3,337.0
India,Jharkhand,"Calendar Year (Jan - Dec), 2024",Eastern Region,,3399.0,37.1,38.9,336724.0,130937.0,16630.0,21780.0,54802.0,10478.0,5878.0,56.1,455.0
India,Karnataka,"Calendar Year (Jan - Dec), 2024",Southern Region,,11236.0,69.0,73.6,1682411.0,1238986.0,183934.0,226137.0,478712.0,53271.0,45472.0,85.4,1753.0
India,Kerala,"Calendar Year (Jan - Dec), 2024",Southern Region,,7130.0,70.3,72.3,803411.0,580742.0,123436.0,51924.0,224306.0,24217.0,24388.0,100.7,647.0
India,Ladakh,"Calendar Year (Jan - Dec), 2024",Northern Region,,100.0,43.6,45.0,8848.0,3977.0,305.0,237.0,2726.0,34.0,38.0,109.5,4.0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2024",Southern Region,,23.0,10.9,10.9,1532.0,168.0,32.0,3.0,107.0,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2024",Central Region,,7703.0,75.8,79.2,617814.0,489252.0,115401.0,83775.0,156307.0,30237.0,20006.0,66.2,1343.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2024",Western Region,,14410.0,100.6,86.3,4667847.0,4030653.0,141984.0,966844.0,1018853.0,22849.0,15533.0,68.0,760.0
India,Manipur,"Calendar Year (Jan - Dec), 2024",North-Eastern Region,,250.0,74.0,77.5,15669.0,12146.0,814.0,567.0,9102.0,435.0,312.0,71.8,28.0
India,Meghalaya,"Calendar Year (Jan - Dec), 2024",North-Eastern Region,,388.0,41.1,41.6,34372.0,14297.0,735.0,3308.0,7975.0,3860.0,1259.0,32.6,95.0
