sno,state_name,rural_accounts,urban_accounts,total_accounts,total_balance_crore,rupay_cards,total_balance,avg_balance_per_account,rupay_activation_ratio,rural_share,urban_share,households,population,male_pop,female_pop,literate_pop,male_literate,female_literate,sc_population,st_population,working_pop,female_working_pop,literacy_rate,male_literacy_rate,female_literacy_rate,female_workforce_pct,sc_share,st_share,avg_household_size,women_bank_account_pct,female_literacy_nfhs,male_literacy_nfhs,female_workforce_pct_nfhs,women_mobile_pct,electricity_access_pct,clean_water_pct,women_property_ownership_pct,literacy_gender_gap,Country,Year,Name Of The Region,Additional Info,"Distribution Of Offices Of Scheduled Commercial Banks (UOM:Number), Scaling Factor:1","Credit-Deposit Ratio Of Scheduled Commercial Banks According To Place Of Sanction (UOM:Ratio), Scaling Factor:1","Credit-Deposit Ratio Of Scheduled Commercial Banks According To Place Of Utilisation (UOM:Ratio), Scaling Factor:1","Deposits By Scheduled Commercial Banks In India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit By Scheduled Commercial Banks In India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit To Agriculture By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit To Industry By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Personal Loans By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Deposits Of Regional Rural Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit Of Regional Rural Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit-Deposit Ratio Of Regional Rural Banks (UOM:Ratio), Scaling Factor:1","Number Of Branches Of Regional Rural Banks (UOM:Number), Scaling Factor:1",accounts_per_capita
11,Haryana,6421184,4682017,11103201,7691.68,7693682,76916800000.0,6927.443716456182,0.6929246800089451,0.5783182705599944,0.42168172944000565,4857524.0,25351462.0,13494734.0,11856728.0,16598988.0,9794067.0,6804921.0,5113615.0,0.0,8916508.0,2109872.0,65.47546646422207,72.57695483290001,57.392908060301295,17.794723805758217,20.1708879748237,0.0,5.219009108344086,74.35,81.2,91.94999999999999,19.8,54.25,99.65,98.75,38.35,10.749999999999986,India,"Calendar Year (Jan - Dec), 2025",Northern Region,,5683.0,68.4,76.2,888772.0,677485.0,74303.0,185067.0,219486.0,24055.0,17221.0,71.6,704.0,0.43797083576481705
12,Himachal Pradesh,1869245,131825,2001070,1545.37,1361467,15453699999.999998,7722.718345685057,0.6803695023162608,0.9341227443317826,0.0658772556682175,1483280.0,6864602.0,3481873.0,3382729.0,5039736.0,2752590.0,2287146.0,1729252.0,392126.0,3559422.0,1516049.0,73.41628837330991,79.05486501087202,67.6124513669289,44.81733535261028,25.190855930176287,5.712290384788513,4.627987972601262,85.5,93.1,93.55000000000001,27.0,84.35,99.25,97.15,22.25,0.45000000000001705,India,"Calendar Year (Jan - Dec), 2025",Northern Region,,1819.0,37.8,39.2,162531.0,63730.0,9946.0,10291.0,27637.0,9288.0,4327.0,46.6,279.0,0.2915056109589456
13,Jammu And Kashmir,2043361,411229,2454590,1840.25,1677882,18402500000.0,7497.178754904077,0.6835691500413511,0.8324652997038202,0.1675347002961798,2079471.0,12267013.0,6483906.0,5783107.0,6887227.0,4145536.0,2741691.0,924485.0,1275106.0,4195761.0,1093775.0,56.14428712189349,63.935781919108635,47.40861616428678,18.913276202567236,7.5363497209956485,10.3945923918072,5.899102704485901,86.0,79.5,91.6,18.3,76.85,99.45,93.94999999999999,54.5,12.099999999999994,,,,,,,,,,,,,,,,,0.2000967961801296
14,Jharkhand,18430094,2026294,20456388,12616.61,13988720,126166100000.0,6167.564870200937,0.6838313782472253,0.9009456605926716,0.09905433940732841,6254781.0,32988134.0,16930315.0,16057819.0,18328069.0,10882519.0,7445550.0,3985644.0,8645042.0,13098274.0,4673505.0,55.55958090869887,64.27830196898286,46.36713117765246,29.104232648281815,12.082053504451025,26.20652019905097,5.274066989715547,79.5,67.85,84.7,18.25,54.45,95.95,89.35,61.95,16.85000000000001,India,"Calendar Year (Jan - Dec), 2025",Eastern Region,,3518.0,39.3,41.1,367362.0,151096.0,18438.0,28524.0,60616.0,11570.0,6897.0,59.6,459.0,0.620113523244449
15,Karnataka,15031173,6561046,21592219,14501.02,13465314,145010200000.0,6715.854447382179,0.62361881379584,0.6961384098595887,0.30386159014041125,13357027.0,61095297.0,30966657.0,30128640.0,40647322.0,22508471.0,18138851.0,10474992.0,4248987.0,27872597.0,9602481.0,66.5310162908284,72.68615078469723,60.20467900310137,31.87160455964823,17.145332806877096,6.954687526930265,4.574019128657897,88.95,78.05,88.75,35.95,63.8,99.15,95.69999999999999,67.1,10.700000000000003,India,"Calendar Year (Jan - Dec), 2025",Southern Region,,11395.0,67.7,72.6,1888708.0,1371514.0,199280.0,254698.0,533675.0,55258.0,49338.0,89.3,1755.0,0.35341867639992
16,Kerala,5618310,1809859,7428169,4218.55,4033205,42185500000.0,5679.1249633658035,0.5429608561679197,0.7563519354500416,0.2436480645499584,7853754.0,33406061.0,16027412.0,17378649.0,28135824.0,13704903.0,14430921.0,3039573.0,484839.0,11619063.0,3167494.0,84.2237101824127,85.50914520697415,83.03822121040594,18.226353498479657,9.098866819407412,1.4513504001564268,4.253515070627372,78.55000000000001,98.3,98.30000000000001,25.8,86.55000000000001,99.6,95.0,27.25,1.4210854715202004e-14,India,"Calendar Year (Jan - Dec), 2025",Southern Region,,7380.0,68.8,70.8,894855.0,633196.0,131050.0,53819.0,247348.0,26827.0,27561.0,102.7,648.0,0.22235991845910835
17,Ladakh,17644,3736,21380,26.23,14164,262300000.0,12268.475210477081,0.662488306828812,0.8252572497661366,0.17474275023386343,40247.0,274289.0,156756.0,117533.0,180006.0,119135.0,60871.0,506.0,218193.0,126952.0,33848.0,65.62640135040049,76.00028069101023,51.790560948839904,28.798720359388426,0.18447695678645515,79.54857832432216,6.815141501229905,87.95,77.15,93.05000000000001,28.450000000000003,81.0,99.3,91.95,71.0,15.900000000000006,India,"Calendar Year (Jan - Dec), 2025",Northern Region,,103.0,43.3,44.2,9885.0,4364.0,308.0,272.0,2965.0,47.0,55.0,116.2,4.0,0.07794698292676702
18,Lakshadweep,8813,1868,10681,20.7,8027,207000000.0,19380.20784570733,0.7515213931279843,0.8251100084261773,0.17488999157382268,11574.0,64473.0,33123.0,31350.0,52553.0,28023.0,24530.0,0.0,61120.0,18753.0,3435.0,81.51164053169543,84.60284394529481,78.24561403508771,10.956937799043063,0.0,94.79937338110527,5.570502851218248,66.95,96.6,98.15,11.65,82.6,99.85,90.65,30.25,1.5500000000000114,India,"Calendar Year (Jan - Dec), 2025",Southern Region,,17.0,12.7,12.7,1540.0,195.0,42.0,9.0,122.0,,,,,0.16566624788671228
19,Madhya Pradesh,36594915,10283365,46878280,18970.57,35025539,189705700000.0,4046.7717672235417,0.7471592174456912,0.7806368962342475,0.2193631037657525,15092244.0,72625066.0,37611429.0,35013637.0,42850356.0,25173717.0,17676639.0,11342259.0,15313651.0,31573791.0,11426917.0,59.002157739863534,66.93103045885334,50.48501245386191,32.635618516294095,15.617554137575587,21.085903040693964,4.812078707447348,75.9,70.35,83.5,25.6,45.099999999999994,98.7,91.80000000000001,38.55,13.150000000000006,India,"Calendar Year (Jan - Dec), 2025",Central Region,,7949.0,78.3,81.7,673476.0,550095.0,126829.0,93981.0,178029.0,31590.0,21812.0,69.0,1343.0,0.6454834753609725
20,Maharashtra,26653346,11312244,37965590,21653.18,27063192,216531800000.0,5703.369814613707,0.7128347537862575,0.7020395573992133,0.29796044260078663,23747180.0,109288922.0,56558448.0,52730474.0,79045268.0,43846904.0,35198364.0,13055964.0,10485120.0,48143482.0,16547616.0,72.32688048656935,77.52494198567825,66.75146519638719,31.38150436500912,11.946283082561653,9.593945852993224,4.602185269998374,72.95,84.85,93.05,34.35,55.650000000000006,97.9,93.9,22.8,8.200000000000003,India,"Calendar Year (Jan - Dec), 2025",Western Region,,14832.0,98.1,85.7,5233966.0,4483171.0,170330.0,1085054.0,1160992.0,20897.0,16774.0,80.3,771.0,0.34738735916893754
21,Manipur,830732,258665,1089397,321.71,719020,3217100000.0,2953.101578212534,0.6600165045433392,0.762561306851405,0.23743869314859506,557859.0,2855794.0,1438586.0,1417208.0,1908476.0,1039858.0,868618.0,97328.0,1167422.0,1304610.0,565202.0,66.8282095977511,72.2833393345966,61.29079147168235,39.8813723885273,3.4080889587974483,40.8790690084789,5.119203956555331,74.65,88.44999999999999,95.45,41.75,73.0,98.3,79.65,58.25,7.000000000000014,India,"Calendar Year (Jan - Dec), 2025",North-Eastern Region,,261.0,76.6,79.7,16806.0,13396.0,984.0,537.0,10117.0,548.0,319.0,58.2,28.0,0.38146904153450845
22,Meghalaya,845597,60381,905978,493.63,557664,4936300000.0,5448.587051782714,0.6155381256498502,0.93335268626832,0.06664731373168002,548059.0,2966889.0,1491832.0,1475057.0,1785005.0,913879.0,871126.0,17355.0,2555861.0,1185619.0,481910.0,60.16419893025995,61.2588414781289,59.05710762363759,32.67060188182558,0.5849561611506194,86.14616185506098,5.4134481871477345,73.1,91.3,87.2,41.1,71.25,93.94999999999999,84.6,58.949999999999996,-4.099999999999994,India,"Calendar Year (Jan - Dec), 2025",North-Eastern Region,,394.0,40.3,40.7,37779.0,15391.0,849.0,2768.0,8728.0,4011.0,1518.0,37.9,93.0,0.3053629576300293
23,Mizoram,268106,172296,440402,236.2,214337,2362000000.0,5363.281728965809,0.48668489243918056,0.608775618639334,0.39122438136066595,222853.0,1097206.0,555339.0,541867.0,848175.0,438529.0,409646.0,1218.0,1036115.0,486705.0,195965.0,77.30316822912015,78.9660009471692,75.59899384904413,36.164778441942396,0.11100923618718819,94.43213033833209,4.923451782116462,80.2,93.4,96.7,29.2,81.19999999999999,98.0,95.5,21.45,3.299999999999997,India,"Calendar Year (Jan - Dec), 2025",North-Eastern Region,,241.0,51.5,51.8,17462.0,9049.0,842.0,622.0,5980.0,5828.0,3734.0,64.1,108.0,0.40138497237528775
24,Nagaland,285500,126574,412074,154.4,312522,1544000000.0,3746.899828671549,0.7584123240000582,0.6928367235011187,0.30716327649888125,396002.0,1978502.0,1024649.0,953853.0,1342434.0,723957.0,618477.0,0.0,1710973.0,974122.0,426765.0,67.85103072930934,70.6541459563226,64.83986526225739,44.74117080933855,0.0,86.47820421712993,4.996191938424554,66.65,87.1,94.2,24.65,84.65,98.8,91.65,26.15,7.1000000000000085,India,"Calendar Year (Jan - Dec), 2025",North-Eastern Region,,231.0,52.1,53.5,18789.0,10048.0,497.0,515.0,7635.0,167.0,79.0,47.1,14.0,0.20827575610234408
25,Odisha,21102644,2747714,23850358,13809.06,17357029,138090600000.0,5789.875355330096,0.7277471055151458,0.8847935951317796,0.11520640486822042,9620556.0,41896542.0,21172083.0,20724692.0,26685118.0,15057822.0,11627296.0,7181810.0,9576786.0,17515266.0,5634339.0,63.69288902172404,71.12111736950965,56.10358889772644,27.186599443793906,17.141772702864117,22.858177651033827,4.354898199230897,85.1,74.30000000000001,86.1,25.950000000000003,53.4,97.85,93.55,40.45,11.799999999999983,India,"Calendar Year (Jan - Dec), 2025",Eastern Region,,5920.0,48.1,51.0,583925.0,298069.0,45975.0,51831.0,96451.0,28049.0,16250.0,57.9,999.0,0.5692679362416115
